policy_id,customer_id,claim_type,region,claim_status,fraudulent_claim,accident_type,policy_type_x,processing_days,claim_amount,name,age,location,policy_type_y,policy_premium,risk_score
POL00001,CUST00001,Home,East,Rejected,No,Medical Emergency,Gold,43,16202,Customer_1,50,Illinois,Gold,1055,0.37
POL00002,CUST00002,Travel,South,Rejected,No,Collision,Gold,56,40734,Customer_2,38,California,Gold,1109,0.45
POL00003,CUST00003,Health,Central,Rejected,Yes,Burglary,Platinum,33,8079,Customer_3,41,Illinois,Gold,2296,0.89
POL00004,CUST00004,Health,West,Approved,No,Flood,Premium,19,8987,Customer_4,42,Florida,Gold,608,0.68
POL00005,CUST00005,Travel,Central,Approved,No,Medical Emergency,Platinum,47,40567,Customer_5,69,California,Gold,2318,0.86
POL00006,CUST00006,Life,West,Approved,No,Medical Emergency,Gold,12,29940,Customer_6,53,New York,Platinum,871,0.3
POL00007,CUST00007,Travel,East,Under Review,No,Medical Emergency,Gold,25,38233,Customer_7,44,New York,Silver,1354,0.47
POL00008,CUST00008,Life,Central,Under Review,No,Medical Emergency,Premium,43,18019,Customer_8,51,Texas,Gold,1115,0.59
POL00009,CUST00009,Travel,West,Approved,No,Other,Premium,23,47185,Customer_9,42,California,Gold,1267,0.25
POL00010,CUST00010,Travel,East,Rejected,No,Medical Emergency,Premium,27,19077,Customer_10,28,Texas,Gold,2414,0.2
POL00011,CUST00011,Auto,South,Under Review,No,Burglary,Platinum,15,27258,Customer_11,25,California,Gold,705,0.67
POL00012,CUST00012,Health,West,Approved,No,Flood,Premium,15,22136,Customer_12,25,California,Silver,1346,0.65
POL00013,CUST00013,Travel,South,Rejected,No,Other,Gold,28,9311,Customer_13,50,Florida,Gold,542,0.49
POL00014,CUST00014,Travel,South,Under Review,No,Medical Emergency,Gold,57,18214,Customer_14,69,Texas,Silver,1364,0.54
POL00015,CUST00015,Home,North,Rejected,No,Fire,Standard,40,15098,Customer_15,44,Florida,Gold,1768,0.49
POL00016,CUST00016,Health,Central,Rejected,No,Fire,Platinum,44,29251,Customer_16,47,California,Gold,1810,0.22
POL00017,CUST00017,Home,West,Rejected,Yes,Flood,Standard,28,38945,Customer_17,34,New York,Gold,1878,0.43
POL00018,CUST00018,Health,South,Rejected,No,Collision,Gold,7,48030,Customer_18,35,California,Silver,1284,0.32
POL00019,CUST00019,Home,North,Under Review,No,Collision,Standard,26,26945,Customer_19,65,Florida,Gold,975,0.27
POL00020,CUST00020,Travel,East,Under Review,No,Other,Gold,57,26316,Customer_20,65,Texas,Silver,582,0.87
POL00021,CUST00021,Travel,West,Under Review,No,Other,Standard,6,33217,Customer_21,29,Texas,Platinum,1633,0.62
POL00022,CUST00022,Auto,South,Approved,No,Other,Premium,28,9308,Customer_22,25,Florida,Platinum,2473,0.71
POL00023,CUST00023,Home,Central,Under Review,No,Collision,Standard,48,6949,Customer_23,41,Texas,Platinum,689,0.42
POL00024,CUST00024,Life,North,Rejected,No,Fire,Premium,34,2150,Customer_24,46,Illinois,Gold,1299,0.48
POL00025,CUST00025,Auto,South,Under Review,No,Collision,Premium,42,24944,Customer_25,58,New York,Gold,1435,0.37
POL00026,CUST00026,Home,Central,Rejected,No,Burglary,Platinum,6,35699,Customer_26,69,New York,Silver,2432,0.27
POL00027,CUST00027,Home,South,Approved,No,Medical Emergency,Premium,25,10204,Customer_27,65,New York,Silver,750,0.33
POL00028,CUST00028,Auto,West,Rejected,No,Other,Premium,37,2081,Customer_28,53,Texas,Gold,2247,0.76
POL00029,CUST00029,Travel,West,Rejected,No,Fire,Standard,16,30305,Customer_29,28,Texas,Gold,790,0.67
POL00030,CUST00030,Home,West,Rejected,No,Flood,Gold,26,17896,Customer_30,29,California,Platinum,2168,0.58
POL00031,CUST00031,Travel,North,Approved,No,Flood,Platinum,48,47175,Customer_31,35,California,Silver,1724,0.53
POL00032,CUST00032,Auto,West,Under Review,No,Medical Emergency,Premium,29,8805,Customer_32,45,New York,Platinum,2320,0.85
POL00033,CUST00033,Travel,Central,Under Review,Yes,Fire,Platinum,53,6237,Customer_33,59,Illinois,Gold,825,0.25
POL00034,CUST00034,Health,South,Approved,No,Collision,Standard,31,21056,Customer_34,36,California,Gold,2034,0.4
POL00035,CUST00035,Life,East,Rejected,No,Collision,Premium,46,46543,Customer_35,50,California,Silver,1932,0.44
POL00036,CUST00036,Home,Central,Under Review,No,Burglary,Standard,32,46952,Customer_36,43,Texas,Silver,2130,0.75
POL00037,CUST00037,Life,Central,Approved,No,Burglary,Platinum,20,4343,Customer_37,69,Illinois,Gold,2313,0.89
POL00038,CUST00038,Travel,West,Under Review,No,Collision,Standard,19,14500,Customer_38,31,New York,Gold,2485,0.37
